language,problem_id,category,title,core,input_size,trial,elapsed_ns,iterations,checksum
v,2,"Array","27 Remove Element","two pointers",2048,5,15018,333,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,6,14147,354,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,7,14717,342,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,8,15048,333,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,9,13631,369,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,10,15167,330,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,11,14060,357,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,12,13919,360,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,13,13511,372,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,14,12474,402,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,15,11791,426,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,16,13467,372,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,17,12302,411,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,18,11543,435,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",2048,19,12469,402,3789289782144572235
v,2,"Array","27 Remove Element","two pointers",8192,0,47718,105,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,1,49953,102,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,2,47671,105,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,3,48196,105,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,4,46773,108,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,5,48901,105,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,6,52082,99,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,7,50916,99,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,8,48479,105,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,9,47685,105,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,10,46762,108,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,11,48915,105,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,12,46082,111,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,13,47379,108,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,14,51697,99,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,15,54139,93,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,16,50142,102,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,17,55830,90,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,18,50272,102,1604479377995486015
v,2,"Array","27 Remove Element","two pointers",8192,19,46951,108,1604479377995486015
v,3,"Array","977 Squares of Sorted Array","two pointers",512,0,22579,231,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,1,21854,231,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,2,21774,231,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,3,22325,225,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,4,22119,228,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,5,22765,222,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,6,23010,219,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,7,21535,234,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,8,21681,231,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,9,21647,231,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,10,21919,231,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,11,21741,231,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,12,21485,234,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,13,22179,228,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,14,21959,228,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,15,21590,234,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,16,19970,252,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,17,20855,240,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,18,22310,225,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",512,19,20762,243,242299269151777471
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,0,97820,54,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,1,105014,48,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,2,99627,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,3,100909,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,4,100694,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,5,99403,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,6,98070,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,7,100372,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,8,102474,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,9,107275,48,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,10,103511,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,11,101521,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,12,108543,48,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,13,105190,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,14,114411,45,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,15,108566,48,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,16,100427,51,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,17,105397,48,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,18,112468,45,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",2048,19,104431,48,1599507760919737250
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,0,725111,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,1,698011,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,2,757544,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,3,711777,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,4,715922,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,5,700677,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,6,708077,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,7,709622,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,8,699022,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,9,689522,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,10,731288,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,11,699500,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,12,697233,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,13,704277,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,14,733988,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,15,734888,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,16,724200,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,17,696711,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,18,692177,9,772131168549518281
v,3,"Array","977 Squares of Sorted Array","two pointers",8192,19,721800,9,772131168549518281
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,0,2202,2271,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,1,2378,2124,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,2,2469,2055,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,3,2325,2151,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,4,2368,2112,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,5,2459,2034,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,6,2222,2250,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,7,1955,2559,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,8,2191,2307,184
