language,problem_id,category,title,core,input_size,trials,median_ns,mean_ns,min_ns,max_ns,checksum
go,40,BinaryTree,112 Path Sum,DFS backtracking,512,20,908.500000,921.200000,877.000000,983.000000,54
v,40,BinaryTree,112 Path Sum,DFS backtracking,512,20,1658.000000,1614.400000,1269.000000,1930.000000,54
go,40,BinaryTree,112 Path Sum,DFS backtracking,2048,20,3503.500000,3544.250000,3336.000000,3847.000000,68
v,40,BinaryTree,112 Path Sum,DFS backtracking,2048,20,6829.500000,6824.950000,5559.000000,8385.000000,68
go,40,BinaryTree,112 Path Sum,DFS backtracking,8192,20,14039.500000,14094.850000,13250.000000,16511.000000,86
v,40,BinaryTree,112 Path Sum,DFS backtracking,8192,20,28555.000000,28921.450000,26795.000000,33177.000000,86
go,41,BinaryTree,105 Build Tree,recursive construction,512,20,13627.500000,13888.500000,13181.000000,15433.000000,7652986717
v,41,BinaryTree,105 Build Tree,recursive construction,512,20,51192.000000,51373.400000,48002.000000,54860.000000,7652986717
go,41,BinaryTree,105 Build Tree,recursive construction,2048,20,61903.500000,62285.100000,59334.000000,67397.000000,1757576459485
v,41,BinaryTree,105 Build Tree,recursive construction,2048,20,159107.000000,159738.450000,136953.000000,187596.000000,1757576459485
go,41,BinaryTree,105 Build Tree,recursive construction,8192,20,128897.000000,128225.300000,121057.000000,139230.000000,25119013969335
v,41,BinaryTree,105 Build Tree,recursive construction,8192,20,298755.000000,299984.850000,277933.000000,320272.000000,25119013969335
go,42,BinaryTree,236 Lowest Common Ancestor,postorder logic,512,20,12.000000,12.100000,12.000000,13.000000,0
v,42,BinaryTree,236 Lowest Common Ancestor,postorder logic,512,20,15.000000,15.350000,15.000000,16.000000,0
go,42,BinaryTree,236 Lowest Common Ancestor,postorder logic,2048,20,14.000000,14.200000,14.000000,15.000000,0
v,42,BinaryTree,236 Lowest Common Ancestor,postorder logic,2048,20,17.000000,17.250000,17.000000,18.000000,0
go,42,BinaryTree,236 Lowest Common Ancestor,postorder logic,8192,20,16.000000,16.450000,16.000000,17.000000,0
v,42,BinaryTree,236 Lowest Common Ancestor,postorder logic,8192,20,20.000000,20.100000,20.000000,21.000000,0
go,43,BST,98 Validate BST,inorder bounds,512,20,3219.000000,3217.250000,3062.000000,3490.000000,1
v,43,BST,98 Validate BST,inorder bounds,512,20,5551.000000,5729.450000,5310.000000,6353.000000,1
go,43,BST,98 Validate BST,inorder bounds,2048,20,12690.500000,12750.750000,12252.000000,13552.000000,1
v,43,BST,98 Validate BST,inorder bounds,2048,20,21881.000000,22238.350000,21306.000000,24593.000000,1
go,43,BST,98 Validate BST,inorder bounds,8192,20,51949.000000,52646.150000,49105.000000,59337.000000,1
v,43,BST,98 Validate BST,inorder bounds,8192,20,89625.000000,90590.950000,85245.000000,99043.000000,1
go,44,BST,230 Kth Smallest,inorder traversal,512,20,650.500000,650.300000,630.000000,676.000000,382
v,44,BST,230 Kth Smallest,inorder traversal,512,20,1584.000000,1599.250000,1498.000000,1864.000000,382
go,44,BST,230 Kth Smallest,inorder traversal,2048,20,2590.000000,2589.200000,2494.000000,2718.000000,1534
v,44,BST,230 Kth Smallest,inorder traversal,2048,20,5700.500000,5722.050000,5392.000000,6212.000000,1534
go,44,BST,230 Kth Smallest,inorder traversal,8192,20,10390.000000,10491.400000,10108.000000,11380.000000,6142
v,44,BST,230 Kth Smallest,inorder traversal,8192,20,21453.000000,21494.800000,21017.000000,22344.000000,6142
go,45,Graph,200 Number of Islands,grid DFS,512,20,2395.000000,2447.000000,2283.000000,3020.000000,138
v,45,Graph,200 Number of Islands,grid DFS,512,20,4170.500000,4274.650000,3956.000000,4866.000000,138
go,45,Graph,200 Number of Islands,grid DFS,2048,20,9957.500000,9986.650000,9498.000000,10992.000000,21
v,45,Graph,200 Number of Islands,grid DFS,2048,20,16483.500000,16583.700000,15775.000000,19936.000000,21
go,45,Graph,200 Number of Islands,grid DFS,8192,20,39952.000000,40343.800000,38670.000000,43925.000000,777
v,45,Graph,200 Number of Islands,grid DFS,8192,20,62768.000000,63556.050000,60907.000000,68604.000000,777
go,46,Graph,207 Course Schedule,topological sort,512,20,12675.000000,13107.700000,12202.000000,16153.000000,1
v,46,Graph,207 Course Schedule,topological sort,512,20,37799.000000,39687.550000,35585.000000,54920.000000,1
go,46,Graph,207 Course Schedule,topological sort,2048,20,48626.500000,48089.200000,45071.000000,50620.000000,1
v,46,Graph,207 Course Schedule,topological sort,2048,20,145615.000000,145692.050000,138333.000000,160584.000000,1
go,46,Graph,207 Course Schedule,topological sort,8192,20,190577.500000,192530.450000,166790.000000,258247.000000,1
v,46,Graph,207 Course Schedule,topological sort,8192,20,652594.000000,664653.850000,550483.000000,942050.000000,1
go,47,Graph,210 Course Schedule II,topological output,512,20,11483.500000,11775.450000,10635.000000,13675.000000,1444491578096570648
v,47,Graph,210 Course Schedule II,topological output,512,20,42141.500000,45496.150000,35959.000000,62458.000000,1444491578096570648
go,47,Graph,210 Course Schedule II,topological output,2048,20,46445.500000,47042.500000,43037.000000,52516.000000,5890677067414367166
v,47,Graph,210 Course Schedule II,topological output,2048,20,187298.000000,183041.750000,142797.000000,222404.000000,5890677067414367166
go,47,Graph,210 Course Schedule II,topological output,8192,20,198905.000000,202769.350000,169786.000000,252609.000000,3051941525166921139
v,47,Graph,210 Course Schedule II,topological output,8192,20,765594.000000,746556.500000,552133.000000,925716.000000,3051941525166921139
go,48,UnionFind,684 Redundant Connection,cycle detection,512,20,1988.500000,2008.250000,1885.000000,2205.000000,15902
v,48,UnionFind,684 Redundant Connection,cycle detection,512,20,8165.000000,8270.200000,7338.000000,9126.000000,15902
go,48,UnionFind,684 Redundant Connection,cycle detection,2048,20,8276.000000,8398.600000,7228.000000,10014.000000,63518
v,48,UnionFind,684 Redundant Connection,cycle detection,2048,20,31175.000000,31513.300000,30078.000000,33436.000000,63518
go,48,UnionFind,684 Redundant Connection,cycle detection,8192,20,30612.500000,30962.750000,28839.000000,36974.000000,253982
v,48,UnionFind,684 Redundant Connection,cycle detection,8192,20,131018.500000,131531.450000,120426.000000,148788.000000,253982
go,49,Trie,208 Implement Trie,prefix tree,512,20,179118.000000,181105.000000,166890.000000,212879.000000,4481
v,49,Trie,208 Implement Trie,prefix tree,512,20,569916.000000,607198.400000,551825.000000,1174750.000000,4481
go,49,Trie,208 Implement Trie,prefix tree,2048,20,1720016.500000,1787287.150000,1361566.000000,2414133.000000,16818
v,49,Trie,208 Implement Trie,prefix tree,2048,20,2124699.500000,2466486.350000,1895766.000000,4501433.000000,16818
go,49,Trie,208 Implement Trie,prefix tree,8192,20,6923550.000000,7324794.700000,4931433.000000,11933133.000000,62877
v,49,Trie,208 Implement Trie,prefix tree,8192,20,8207600.000000,10167889.650000,7216333.000000,20724833.000000,62877
go,50,Fenwick,307 Range Sum Query Mutable,point update range query,512,20,5880.000000,6120.550000,5684.000000,7515.000000,1525719
v,50,Fenwick,307 Range Sum Query Mutable,point update range query,512,20,8042.000000,8084.750000,7411.000000,8859.000000,1525719
go,50,Fenwick,307 Range Sum Query Mutable,point update range query,2048,20,28305.000000,28541.750000,25625.000000,32998.000000,6593895
v,50,Fenwick,307 Range Sum Query Mutable,point update range query,2048,20,35726.500000,36445.650000,34306.000000,41005.000000,6593895
go,50,Fenwick,307 Range Sum Query Mutable,point update range query,8192,20,238363.500000,234854.900000,183746.000000,279490.000000,25745638
v,50,Fenwick,307 Range Sum Query Mutable,point update range query,8192,20,219324.500000,220066.850000,212158.000000,232337.000000,25745638
